Test_Name,MPI_Size,Total_Time_Sec,Items_Produced,Items_Consumed,Overall_Throughput_Items_Per_Sec,Enqueue_Throughput_Items_Per_Sec,Dequeue_Throughput_Items_Per_Sec,Min_Enqueue_Latency_Us,Avg_Enqueue_Latency_Us,Max_Enqueue_Latency_Us,Min_Dequeue_Latency_Us,Avg_Dequeue_Latency_Us,Max_Dequeue_Latency_Us,Memory_Peak_KB,Load_Balance_Score,Queue_Capacity_Bytes
"Stress Test",16,7.782,5000,5000,642.48,798.06,669.02,19.00,79.26,1014.00,17.00,4090.50,16012.00,25736,91,4400412
"Stress Test",16,7.771,5000,5000,643.41,798.67,670.06,18.00,69.30,1009.00,17.00,4070.05,23370.00,25896,91,4400412
"Stress Test",16,7.835,5000,5000,638.12,788.21,664.30,11.00,88.89,1053.00,18.00,4233.10,14455.00,25916,92,4400412
"Stress Test",32,7.603,5000,5000,657.64,788.40,685.59,35.00,100.83,2028.00,20.00,10500.71,28417.00,26780,75,4400412
"Stress Test",32,7.431,5000,5000,672.84,796.21,702.13,21.00,84.96,1273.00,19.00,10059.56,28950.00,26716,77,4400412
"Stress Test",32,7.514,5000,5000,665.46,792.35,694.14,28.00,87.04,1178.00,20.00,10097.25,26148.00,26740,76,4400412
"Stress Test",64,7.940,5000,5000,629.74,774.28,655.41,11.00,116.04,1653.00,20.00,25690.85,59715.00,27828,40,4400412
"Stress Test",64,7.667,5000,5000,652.11,775.35,679.67,38.00,122.81,2117.00,36.00,24404.77,64604.00,27780,41,4400412
"Stress Test",64,7.510,5000,5000,665.75,780.65,694.51,39.00,109.20,2501.00,26.00,23098.79,64280.00,27752,49,4400412
