Test_Name,MPI_Size,Total_Time_Sec,Items_Produced,Items_Consumed,Overall_Throughput_Items_Per_Sec,Enqueue_Throughput_Items_Per_Sec,Dequeue_Throughput_Items_Per_Sec,Min_Enqueue_Latency_Us,Avg_Enqueue_Latency_Us,Max_Enqueue_Latency_Us,Min_Dequeue_Latency_Us,Avg_Dequeue_Latency_Us,Max_Dequeue_Latency_Us,Memory_Peak_KB,Load_Balance_Score,Queue_Capacity_Bytes
"Stress Test",16,9.725,5000,5000,514.12,728.32,530.95,33.00,187.44,1087.00,8534.00,8838.35,132448.00,26772,85,132008
"Stress Test",16,9.577,5000,5000,522.06,736.32,539.40,25.00,169.17,1065.00,8894.00,8813.48,137622.00,26852,86,132008
"Stress Test",16,9.436,5000,5000,529.91,735.03,547.77,23.00,175.80,1163.00,8850.00,8376.18,131202.00,26748,84,132008
"Stress Test",32,14.624,5000,5000,341.90,700.31,349.22,66.00,245.27,2461.00,15823.00,31820.72,343351.00,26968,98,132008
"Stress Test",32,13.362,5000,5000,374.19,730.83,382.95,35.00,183.39,2032.00,14142.00,30348.00,303317.00,26972,98,132008
"Stress Test",32,13.876,5000,5000,360.33,712.87,368.43,35.00,221.19,1399.00,14076.00,31980.80,338177.00,26448,98,132008
"Stress Test",64,27.271,5000,5000,183.35,644.78,185.41,61.00,383.30,3217.00,16576.00,153491.82,836038.00,28144,67,132008
"Stress Test",64,23.105,5000,5000,216.41,674.81,219.28,73.00,305.82,3207.00,16509.00,126433.62,759308.00,27016,67,132008
"Stress Test",64,27.327,5000,5000,182.97,644.46,185.02,14.00,381.18,2079.00,15874.00,153824.23,835105.00,28084,67,132008
